update,frames,FPS,duration,entropy,policy_loss,train_accuracy,validation_accuracy,validation_return,validation_success_rate
1,724003,10100.527243074876,71,1.2742796800075433,1.0481413151973333,0.6952495993521774,0.7063683656480712,0.0038818359374999997,0.00390625
2,1447362,10414.009039904951,269,0.8054955204327902,0.5635595906239289,0.7977272253094867,0.8807521251822127,0.466278076171875,0.498046875
3,2170726,10320.818084988807,425,0.5130068166897848,0.3164940472596731,0.8957650328459783,0.9117936274009826,0.6192626953125,0.68359375
4,2894011,10364.106219069105,562,0.3885153623727652,0.2401418741314839,0.9240600510183492,0.9337939878703199,0.7053985595703125,0.79296875
