buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
150.0,1.0,300.0,949.9284560680389,2.9434607781307145,300,150.0,101.9208607673645
300.0,2.0,300.0,293.60733592510223,135.19152517370185,600,300.0,104.13992118835449
450.0,3.0,300.0,272.2923467159271,140.49227013559837,900,450.0,106.27527022361755
600.0,4.0,300.0,273.89098596572876,145.83384908090306,1200,600.0,108.33240675926208
750.0,5.0,300.0,311.6804337501526,144.21898791557234,1500,750.0,110.41257691383362
900.0,6.0,300.0,306.9920949935913,143.3141156905965,1800,900.0,112.50588154792786
1050.0,7.0,300.0,945.5207164287567,98.59437584222658,2100,1050.0,115.54865193367004
1200.0,8.0,300.0,1028.1511298418045,67.49845789915844,2400,1200.0,119.99319863319397
1350.0,9.0,300.0,93.24141031503677,68.54201353037416,2700,1350.0,124.37007665634155
1500.0,10.0,300.0,149.9487942829728,65.42156677611412,3000,1500.0,128.95572090148926
1650.0,11.0,300.0,211.7397084236145,66.64557947579334,3300,1650.0,133.4571454524994
1800.0,12.0,300.0,270.9407705888152,68.00893229499404,3600,1800.0,137.86833095550537
1950.0,13.0,300.0,282.94032168388367,71.15514797778687,3900,1950.0,142.08447074890137
2100.0,14.0,300.0,127.8388985209167,73.19281471065456,4200,2100.0,146.18323421478271
2250.0,15.0,300.0,285.6433415412903,70.78140335702967,4500,2250.0,150.42163634300232
2400.0,16.0,300.0,993.3548830747604,68.41261878300804,4800,2400.0,154.8068084716797
2550.0,17.0,300.0,407.9283684492111,71.38275310732438,5100,2550.0,159.00948929786682
2700.0,18.0,300.0,160.2411981523037,71.55065623436435,5400,2700.0,163.20232367515564
2850.0,19.0,300.0,273.57114362716675,67.55314391405965,5700,2850.0,167.64327216148376
3000.0,20.0,300.0,296.38223564624786,67.50641739279627,6000,3000.0,172.08729457855225
3150.0,21.0,300.0,298.7997336387634,67.2019216369804,6300,3150.0,176.5514531135559
3300.0,22.0,300.0,301.9797179698944,68.91841909253476,6600,3300.0,180.90442609786987
3450.0,23.0,300.0,333.61006331443787,69.7894333300203,6900,3450.0,185.20307183265686
3600.0,24.0,300.0,292.82861161231995,65.64291589927093,7200,3600.0,189.77325296401978
3750.0,25.0,300.0,237.41455781459808,66.74658843669198,7500,3750.0,194.26786494255066
3900.0,26.0,300.0,300.05750799179077,71.33771828371917,7800,3900.0,198.47321462631226
4050.0,27.0,300.0,682.5759825706482,68.44499424689228,8100,4050.0,202.85629677772522
4200.0,28.0,300.0,168.23105186223984,67.53251799622969,8400,4200.0,207.29860162734985
4350.0,29.0,300.0,325.6922445297241,67.47913551238355,8700,4350.0,211.74442076683044
4500.0,30.0,300.0,270.6189148426056,67.96785443163989,9000,4500.0,216.15827298164368
4650.0,31.0,300.0,314.00760865211487,68.93403881786527,9300,4650.0,220.51025986671448
4800.0,32.0,300.0,294.178186416626,67.58398119000523,9600,4800.0,224.94918203353882
4950.0,33.0,300.0,283.88046991825104,70.34988901490793,9900,4950.0,229.21358180046082
5100.0,34.0,300.0,337.0004360675812,3.3753189682637594,10200,5100.0,318.09407114982605
5250.0,35.0,300.0,599.9825463294983,65.84120484753309,10500,5250.0,322.650488615036
5400.0,36.0,300.0,273.9946618080139,66.2430444448504,10800,5400.0,327.1792664527893
5550.0,37.0,300.0,634.9511944055557,65.4154005763437,11100,5550.0,331.7653431892395
5700.0,38.0,300.0,298.8437443971634,62.903803449610116,11400,5700.0,336.53453063964844
5850.0,39.0,300.0,337.6514618396759,66.28115902606312,11700,5850.0,341.0607044696808
6000.0,40.0,300.0,236.97014011628926,66.08390787556266,12000,6000.0,345.6003882884979
6150.0,41.0,300.0,273.7588815689087,66.74402514001862,12300,6150.0,350.09517335891724
6300.0,42.0,300.0,276.379820227623,68.76932972470816,12600,6300.0,354.4575836658478
6450.0,43.0,300.0,328.33641386032104,69.54894515682145,12900,6450.0,358.7710928916931
6600.0,44.0,300.0,360.63518476486206,67.72563321460946,13200,6600.0,363.2007305622101
6750.0,45.0,300.0,207.6099569797516,70.14196335434448,13500,6750.0,367.4777715206146
6900.0,46.0,300.0,193.4858100414276,69.98347148255095,13800,6900.0,371.76449823379517
7050.0,47.0,300.0,280.9814865589142,68.15654828515994,14100,7050.0,376.1661298274994
7200.0,48.0,300.0,477.66845202445984,65.0007325096027,14400,7200.0,380.7814631462097
