update,frames,FPS,duration,entropy,policy_loss,train_accuracy,validation_accuracy,validation_return,validation_success_rate
1,9286,771.5892976724587,12,1.9298681914806366,1.8203580975532532,0.4403250896016695,0.6765957446808509,0.03037109375,0.03125
2,18498,788.7409691921142,35,1.8922805190086365,1.5844007432460785,0.7060852694495324,0.6973404255319151,0.0,0.0
3,28154,796.202753271291,58,1.8201585412025452,1.404874473810196,0.7070094172949432,0.6973404255319151,0.0,0.0
4,37081,809.6482170778419,80,1.719563066959381,1.264249473810196,0.7102214167939281,0.6973404255319151,0.0,0.0
5,46963,841.2272688415279,103,1.6040234565734863,1.1672414243221283,0.7080668235899796,0.6973404255319151,0.0,0.0
